time, autocorrelation 
5798, -0.030821
5799, -0.030492
5800, -0.030038
5801, -0.029632
5802, -0.029149
5803, -0.028704
5804, -0.028306
5805, -0.027736
5806, -0.027182
5807, -0.026527
5808, -0.025777
5809, -0.024958
5810, -0.024083
5811, -0.023034
5812, -0.022022
5813, -0.020990
5814, -0.019984
5815, -0.019046
5816, -0.018204
5817, -0.017342
5818, -0.016399
5819, -0.015266
5820, -0.014046
5821, -0.012983
5822, -0.012008
5823, -0.011008
5824, -0.010085
5825, -0.009290
5826, -0.008597
5827, -0.007990
5828, -0.007547
5829, -0.006932
5830, -0.006331
5831, -0.005706
5832, -0.005070
5833, -0.004523
5834, -0.003969
5835, -0.003478
5836, -0.002986
5837, -0.002547
5838, -0.002151
5839, -0.001885
5840, -0.001493
5841, -0.001159
5842, -0.000756
5843, -0.000448
5844, -0.000156
5845, 0.000080
5846, 0.000095
5847, 0.000192
5848, 0.000215
5849, 0.000181
5850, 0.000195
5851, 0.000173
5852, 0.000107
5853, -0.000077
5854, -0.000313
5855, -0.000455
5856, -0.000640
5857, -0.000861
5858, -0.000983
5859, -0.001176
5860, -0.001342
5861, -0.001332
5862, -0.001270
5863, -0.001216
5864, -0.001095
5865, -0.000890
5866, -0.000722
5867, -0.000549
5868, -0.000391
5869, -0.000038
5870, 0.000317
5871, 0.000687
5872, 0.001068
5873, 0.001450
5874, 0.001794
5875, 0.002089
5876, 0.002306
5877, 0.002492
5878, 0.002670
5879, 0.002706
5880, 0.002684
5881, 0.002651
5882, 0.002619
5883, 0.002707
5884, 0.002693
5885, 0.002834
5886, 0.002968
5887, 0.003053
5888, 0.003097
5889, 0.003120
5890, 0.003143
5891, 0.003265
5892, 0.003447
5893, 0.003711
5894, 0.003873
5895, 0.004050
5896, 0.004272
5897, 0.004531
5898, 0.004698
5899, 0.004931
5900, 0.005204
5901, 0.005339
5902, 0.005616
5903, 0.005759
5904, 0.005909
5905, 0.006125
5906, 0.006360
5907, 0.006578
5908, 0.006770
5909, 0.006895
5910, 0.007159
5911, 0.007428
5912, 0.007860
5913, 0.008279
5914, 0.008829
5915, 0.009319
5916, 0.009823
5917, 0.010397
5918, 0.010932
5919, 0.011380
5920, 0.011819
5921, 0.012313
5922, 0.012719
5923, 0.013132
5924, 0.013451
5925, 0.013873
5926, 0.014228
5927, 0.014603
5928, 0.015043
5929, 0.015526
5930, 0.015949
5931, 0.016326
5932, 0.016639
5933, 0.016984
5934, 0.017321
5935, 0.017572
5936, 0.017724
5937, 0.017947
5938, 0.018134
5939, 0.018162
5940, 0.018215
5941, 0.018283
5942, 0.018352
5943, 0.018383
5944, 0.018469
5945, 0.018598
5946, 0.018664
5947, 0.018721
5948, 0.018770
5949, 0.018764
5950, 0.018741
5951, 0.018691
5952, 0.018617
5953, 0.018499
5954, 0.018394
5955, 0.018204
5956, 0.018098
5957, 0.017870
5958, 0.017674
5959, 0.017445
5960, 0.017230
5961, 0.017053
5962, 0.016886
5963, 0.016761
5964, 0.016611
5965, 0.016348
5966, 0.016022
5967, 0.015762
5968, 0.015565
5969, 0.015366
5970, 0.015213
5971, 0.015035
5972, 0.014944
5973, 0.014752
5974, 0.014514
5975, 0.014151
5976, 0.013770
5977, 0.013402
5978, 0.012939
5979, 0.012535
5980, 0.011986
5981, 0.011330
5982, 0.010592
5983, 0.009825
5984, 0.009095
5985, 0.008297
5986, 0.007570
5987, 0.006667
