time (ms), position (nm), velocity (mm/s), acceleration (Å/ps^2)
2.700000,0.804624,0.710982,-0.000000
2.705000,3.579766,0.404448,-0.000000
2.710000,6.304859,0.676242,-0.000000
2.715000,9.714721,0.684643,-0.000000
2.720000,13.002355,0.629274,-0.000000
2.725000,15.403816,0.337252,-0.000000
2.730000,17.868834,0.639444,-0.000000
2.735000,21.915804,0.968011,-0.000000
2.740000,27.473397,1.243854,-0.000000
2.745000,33.198881,1.047453,-0.000000
2.750000,38.242869,0.969123,-0.000000
2.755000,42.066176,0.568850,-0.000000
2.760000,44.154455,0.274181,-0.000000
2.765000,45.139215,0.124820,-0.000000
2.770000,46.786626,0.524529,-0.000000
2.775000,48.743796,0.265492,-0.000000
2.780000,49.214822,-0.066578,-0.000000
2.785000,48.496407,-0.213922,-0.000000
2.790000,46.918060,-0.408572,-0.000000
2.795000,44.415464,-0.583357,-0.000000
2.800000,41.531064,-0.566014,-0.000000
2.805000,39.020993,-0.436990,-0.000000
2.810000,37.649698,-0.116609,-0.000000
2.815000,36.255726,-0.429782,-0.000000
2.820000,34.598448,-0.234849,-0.000000
2.825000,33.424823,-0.231901,-0.000000
2.830000,32.823063,-0.012272,-0.000000
2.835000,32.066532,-0.281110,-0.000000
2.840000,30.667308,-0.275855,-0.000000
2.845000,29.256085,-0.285581,-0.000000
2.850000,27.136423,-0.552030,-0.000000
2.855000,24.335261,-0.564206,-0.000000
2.860000,21.845281,-0.431709,-0.000000
2.865000,19.437362,-0.525743,-0.000000
2.870000,17.295316,-0.333110,-0.000000
2.875000,15.848142,-0.245826,-0.000000
2.880000,14.596666,-0.252658,-0.000000
2.885000,13.142105,-0.325239,-0.000000
2.890000,11.531116,-0.317232,-0.000000
2.895000,10.142858,-0.238260,-0.000000
2.900000,8.440528,-0.435520,-0.000000
2.905000,5.979481,-0.543432,-0.000000
2.910000,3.420498,-0.479161,-0.000000
2.915000,0.953010,-0.504729,-0.000000
2.920000,-1.829773,-0.603229,0.000000
2.925000,-4.421261,-0.435386,0.000000
2.930000,-5.195298,0.112162,0.000000
2.935000,-5.039993,-0.046353,0.000000
2.940000,-5.061706,0.035336,0.000000
2.945000,-3.390393,0.616424,0.000000
2.950000,-0.169066,0.667644,0.000000
2.955000,2.985207,0.593064,-0.000000
2.960000,5.294768,0.335411,-0.000000
2.965000,6.346443,0.090848,-0.000000
2.970000,6.251905,-0.122762,-0.000000
2.975000,5.005113,-0.368174,-0.000000
2.980000,3.106248,-0.388840,-0.000000
2.985000,0.827587,-0.517063,-0.000000
2.990000,-1.880086,-0.562298,0.000000
2.995000,-3.976630,-0.281704,0.000000
3.000000,-6.038331,-0.534745,0.000000
3.005000,-8.718173,-0.535004,0.000000
3.010000,-11.836729,-0.705568,0.000000
3.015000,-15.587035,-0.789505,0.000000
3.020000,-18.712066,-0.466700,0.000000
3.025000,-20.459023,-0.237294,0.000000
3.030000,-20.681553,0.137822,0.000000
3.035000,-20.247672,0.036919,0.000000
3.040000,-20.759387,-0.235112,0.000000
3.045000,-23.038354,-0.664324,0.000000
3.050000,-27.353982,-1.049150,0.000000
3.055000,-32.508801,-1.010352,0.000000
3.060000,-36.769136,-0.699446,0.000000
3.065000,-40.202541,-0.673216,0.000000
3.070000,-42.751519,-0.354205,0.000000
3.075000,-44.336711,-0.282348,0.000000
3.080000,-44.897190,0.047995,0.000000
3.085000,-44.917282,-0.055540,0.000000
3.090000,-44.806876,0.093563,0.000000
3.095000,-43.752348,0.319268,0.000000
3.100000,-41.131683,0.714260,0.000000
3.105000,-37.665917,0.668025,0.000000
